agent,tier,confidence,rationale_text
"1,3 butadiene",EST,high,"You may have been exposed to a chemical used in rubber and plastics manufacturing, classified as a known human carcinogen. Based on your answers, your exposure is likely to be above the exposure limit. This is an estimate from what you told us, not a measurement. This is a recognised occupational hazard."
Acid mists,IRR,high,"You may have been exposed to airborne droplets of acidic solutions, a respiratory and eye irritant. Based on your answers, your exposure is likely to be above the exposure limit. This is an estimate from what you told us, not a measurement. Effects from this kind of substance generally depend on how concentrated and how frequent the exposure is."
Acrylamide,EST,high,"You may have been exposed to a chemical used in some manufacturing, classified as a probable human carcinogen and nerve toxin. Based on your answers, your exposure is likely to be above the exposure limit. This is an estimate from what you told us, not a measurement. This is a recognised occupational hazard."
Arsenic,EST,high,"You may have been exposed to a metal encountered in some industrial processes, classified as a known human carcinogen. Based on your answers, your exposure is likely to be above the exposure limit. This is an estimate from what you told us, not a measurement. This is a recognised occupational hazard."
Artificial UV,EST,high,"You may have been exposed to ultraviolet light from artificial sources such as welding or UV lamps, a recognised cause of skin and eye damage including cancer with cumulative exposure. Based on your answers, your exposure is likely to be above the exposure limit. This is an estimate from what you told us, not a measurement. This is a recognised occupational hazard."
Asbestos,EST,high,"You may have been exposed to a mineral fibre once widely used in building materials, classified as a known human carcinogen. Based on your answers, your exposure is likely to be above the exposure limit. This is an estimate from what you told us, not a measurement. This is a recognised occupational hazard."
Asbestos Aust,EST,high,"You may have been exposed to a mineral fibre once widely used in building materials, classified as a known human carcinogen. Based on your answers, your exposure is likely to be above the exposure limit. This is an estimate from what you told us, not a measurement. This is a recognised occupational hazard."
Benzene,EST,high,"You may have been exposed to a solvent found in fuels and some industrial processes, classified as a known human carcinogen. Based on your answers, your exposure is likely to be above the exposure limit. This is an estimate from what you told us, not a measurement. This is a recognised occupational hazard."
Beryllium,EST,high,"You may have been exposed to a metal used in some manufacturing and electronics, classified as a known human carcinogen and cause of chronic lung disease. Based on your answers, your exposure is likely to be above the exposure limit. This is an estimate from what you told us, not a measurement. This is a recognised occupational hazard."
Bushfire smoke,UNC,medium,"You may have been exposed to smoke from bushfires, a complex mixture whose long-term health effects are still an active area of research. Based on your answers, your exposure is likely to be above the exposure limit. This is an estimate from what you told us, not a measurement. Evidence on the health effects of this substance is still developing."
Cadmium,EST,high,"You may have been exposed to a metal used in some manufacturing such as batteries or coatings, classified as a known human carcinogen. Based on your answers, your exposure is likely to be above the exposure limit. This is an estimate from what you told us, not a measurement. This is a recognised occupational hazard."
Carbamate,UNC,low,"You may have been exposed to a class of pesticide; evidence on long-term health effects varies by the specific compound. Based on your answers, your exposure is likely to be above the exposure limit. This is an estimate from what you told us, not a measurement. Evidence on the health effects of this substance is still developing."
Carbon Disulphide,EST,medium,"You may have been exposed to a solvent used in some manufacturing, a recognised cause of serious nervous system and cardiovascular effects with sustained exposure. Based on your answers, your exposure is likely to be above the exposure limit. This is an estimate from what you told us, not a measurement. This is a recognised occupational hazard."
Carbon Monoxide,ACUTE,high,"You may have been exposed to a gas from combustion sources, capable of serious acute poisoning at high concentrations. Based on your answers, your exposure is likely to be above the exposure limit. This is an estimate from what you told us, not a measurement. This substance can cause serious short-term effects at high concentrations."
Chromium VI,EST,high,"You may have been exposed to a form of chromium used in some manufacturing such as plating or welding, classified as a known human carcinogen. Based on your answers, your exposure is likely to be above the exposure limit. This is an estimate from what you told us, not a measurement. This is a recognised occupational hazard."
Cobalt,EST,medium,"You may have been exposed to a metal used in some manufacturing such as hard-metal tooling or batteries, linked to lung disease and classified as a possible human carcinogen. Based on your answers, your exposure is likely to be above the exposure limit. This is an estimate from what you told us, not a measurement. This is a recognised occupational hazard."
Cotton Dust,BIO,high,"You may have been exposed to dust from raw cotton processing, a recognised cause of occupational respiratory disease (byssinosis). Based on your answers, your exposure is likely to be above the exposure limit. This is an estimate from what you told us, not a measurement. Reactions to this kind of exposure vary between people, and some people develop sensitivity after repeated contact."
Diesel Exhaust,EST,high,"You may have been exposed to exhaust from diesel engines, classified as a known human carcinogen. Based on your answers, your exposure is likely to be above the exposure limit. This is an estimate from what you told us, not a measurement. This is a recognised occupational hazard."
diethyl/dimethyl sulphate,EST,medium,"You may have been exposed to reactive chemicals used in some manufacturing, classified as probable human carcinogens. Based on your answers, your exposure is likely to be above the exposure limit. This is an estimate from what you told us, not a measurement. This is a recognised occupational hazard."
Environmental Tobacco Smoke,EST,high,"You may have been exposed to secondhand tobacco smoke, classified as a known human carcinogen. Based on your answers, your exposure is likely to be above the exposure limit. This is an estimate from what you told us, not a measurement. This is a recognised occupational hazard."
Epichlorhydrin,EST,medium,"You may have been exposed to a chemical used in some manufacturing such as epoxy resins, classified as a probable human carcinogen. Based on your answers, your exposure is likely to be above the exposure limit. This is an estimate from what you told us, not a measurement. This is a recognised occupational hazard."
Ethyl Benzene,EST,medium,"You may have been exposed to a solvent used in some manufacturing, classified as a possible human carcinogen. Based on your answers, your exposure is likely to be above the exposure limit. This is an estimate from what you told us, not a measurement. This is a recognised occupational hazard."
Ethylene oxide,EST,high,"You may have been exposed to a gas used in sterilisation and some manufacturing, classified as a known human carcinogen. Based on your answers, your exposure is likely to be above the exposure limit. This is an estimate from what you told us, not a measurement. This is a recognised occupational hazard."
ETS incl vapes,EST,medium,"You may have been exposed to secondhand tobacco smoke or vape aerosol; tobacco smoke is a known human carcinogen, while evidence on vape aerosol is comparatively newer and still developing. Based on your answers, your exposure is likely to be above the exposure limit. This is an estimate from what you told us, not a measurement. This is a recognised occupational hazard."
Formaldehyde,EST,high,"You may have been exposed to a chemical used in some manufacturing and building materials, classified as a known human carcinogen. Based on your answers, your exposure is likely to be above the exposure limit. This is an estimate from what you told us, not a measurement. This is a recognised occupational hazard."
